time timestep g1 g3 g1_regular g1_sticker
175.49 17549 4.18544 0.737363 4.12996 2.86028
178.76 17876 4.22549 0.749271 4.16864 2.88704
182.08 18208 4.25934 0.757735 4.20402 2.89625
185.47 18547 4.29536 0.764078 4.23722 2.92831
188.92 18892 4.33786 0.778056 4.27935 2.95808
192.44 19244 4.37452 0.785819 4.31533 2.97764
196.02 19602 4.41021 0.793993 4.34932 3.00039
199.67 19967 4.45324 0.804128 4.39187 3.0259
203.39 20339 4.49115 0.817105 4.42906 3.05476
207.17 20717 4.53709 0.831079 4.47472 3.08747
211.03 21103 4.57761 0.843855 4.51142 3.12069
214.95 21495 4.62517 0.857686 4.55702 3.1588
218.95 21895 4.66099 0.867209 4.5931 3.17869
223.03 22303 4.70302 0.87775 4.63408 3.20868
227.18 22718 4.7478 0.89215 4.67616 3.24161
231.41 23141 4.78554 0.904024 4.71197 3.26502
235.71 23571 4.82719 0.91577 4.75195 3.28602
240.1 24010 4.86923 0.92803 4.79016 3.32726
244.57 24457 4.91245 0.942686 4.83248 3.35655
249.12 24912 4.95443 0.954972 4.87572 3.37291
253.75 25375 5.0001 0.96672 4.91986 3.4114
258.48 25848 5.04524 0.980395 4.96263 3.43631
263.29 26329 5.08423 0.98971 4.99957 3.46917
268.19 26819 5.13594 1.00359 5.05006 3.50992
273.18 27318 5.1787 1.01619 5.0915 3.54652
278.26 27826 5.21782 1.0285 5.13108 3.5641
283.44 28344 5.26214 1.04364 5.17252 3.58434
288.71 28871 5.30837 1.05671 5.2183 3.62216
294.09 29409 5.35023 1.07111 5.25887 3.65527
299.56 29956 5.39601 1.08748 5.30374 3.68534
305.13 30513 5.44476 1.09721 5.35347 3.70931
310.81 31081 5.49119 1.11166 5.39905 3.73694
316.6 31660 5.52693 1.12003 5.4327 3.76244
322.49 32249 5.57555 1.13804 5.48008 3.79991
328.49 32849 5.61786 1.15249 5.51831 3.81948
334.6 33460 5.66856 1.16902 5.56768 3.86159
340.83 34083 5.73055 1.19131 5.63042 3.89593
347.17 34717 5.78034 1.21059 5.67785 3.93544
353.63 35363 5.83892 1.22873 5.73727 3.96978
360.22 36022 5.87797 1.24528 5.77076 4.00868
366.92 36692 5.93353 1.26548 5.82307 4.04595
373.75 37375 5.97865 1.27514 5.86813 4.09087
380.7 38070 6.02919 1.29209 5.91599 4.12735
387.79 38779 6.08706 1.31003 5.9719 4.17742
395 39500 6.14095 1.33197 6.02512 4.21392
402.36 40236 6.19688 1.35542 6.07908 4.25383
409.84 40984 6.24971 1.37742 6.1308 4.30582
417.47 41747 6.2999 1.39649 6.18147 4.31426
425.24 42524 6.34334 1.41094 6.22104 4.36625
433.15 43315 6.38126 1.42653 6.25904 4.39459
441.21 44121 6.42982 1.43858 6.30582 4.42271
449.43 44943 6.47748 1.45835 6.35088 4.45479
457.79 45779 6.52886 1.47467 6.39996 4.50567
466.31 46631 6.59192 1.50865 6.46111 4.56261
474.99 47499 6.64651 1.52981 6.51559 4.59727
483.83 48383 6.70617 1.55567 6.57416 4.65031
492.83 49283 6.77047 1.57463 6.63658 4.7049
502 50200 6.80514 1.58403 6.6701 4.73374
511.34 51134 6.8603 1.6045 6.72524 4.76655
520.86 52086 6.90411 1.61781 6.7683 4.79102
530.55 53055 6.95444 1.63402 6.81802 4.84541
540.43 54043 7.00844 1.64664 6.87109 4.87896
550.48 55048 7.06343 1.66542 6.91862 4.9356
560.73 56073 7.13378 1.69068 6.98795 4.98783
571.16 57116 7.2045 1.72088 7.05562 5.06791
581.79 58179 7.24593 1.7387 7.09878 5.08135
592.62 59262 7.29954 1.75899 7.15275 5.1036
603.74 60374 7.36061 1.7819 7.20949 5.16992
614.97 61497 7.4106 1.80078 7.2561 5.19889
626.4 62640 7.46513 1.81399 7.30839 5.23835
638.05 63805 7.51175 1.81836 7.35304 5.27775
649.91 64991 7.57747 1.85512 7.41914 5.33662
661.99 66199 7.62938 1.87255 7.47113 5.36672
674.3 67430 7.67852 1.88733 7.51555 5.40509
